63192 [AWT-EventQueue-0] INFO br.edu.ifnmg.jean.gestaoprojetos.apresentacao.CadastroUsuarioForm  - Gerente criado com sucesso. nome: João Silva
38024 [AWT-EventQueue-0] INFO br.edu.ifnmg.jean.gestaoprojetos.apresentacao.CadastroUsuarioForm  - Gerente criado com sucesso. nome: José raimundo
61909 [AWT-EventQueue-0] INFO br.edu.ifnmg.jean.gestaoprojetos.apresentacao.CadastroUsuarioForm  - Gerente criado com sucesso. nome: Jean Días
99824 [AWT-EventQueue-0] INFO br.edu.ifnmg.jean.gestaoprojetos.apresentacao.CadastroDiretorForm  - Diretor cadastrado com sucesso!
197457 [AWT-EventQueue-0] INFO br.edu.ifnmg.jean.gestaoprojetos.apresentacao.CadastroDepartamentoForm  - Departamento criado com sucesso
275473 [AWT-EventQueue-0] INFO br.edu.ifnmg.jean.gestaoprojetos.apresentacao.CadastroUsuarioForm  - Gerente criado com sucesso. nome: Franciely alves
436063 [AWT-EventQueue-0] INFO br.edu.ifnmg.jean.gestaoprojetos.apresentacao.CadastroDepartamentoForm  - Departamento criado com sucesso
436063 [AWT-EventQueue-0] INFO br.edu.ifnmg.jean.gestaoprojetos.apresentacao.CadastroDepartamentoForm  - Departamento criado com sucesso
436063 [AWT-EventQueue-0] INFO br.edu.ifnmg.jean.gestaoprojetos.apresentacao.CadastroDepartamentoForm  - Departamento criado com sucesso
501693 [AWT-EventQueue-0] INFO br.edu.ifnmg.jean.gestaoprojetos.apresentacao.CadastroDepartamentoForm  - Departamento Secretaria Geral excluido com sucesso!
501693 [AWT-EventQueue-0] INFO br.edu.ifnmg.jean.gestaoprojetos.apresentacao.CadastroDepartamentoForm  - Departamento Secretaria Geral excluido com sucesso!
501693 [AWT-EventQueue-0] INFO br.edu.ifnmg.jean.gestaoprojetos.apresentacao.CadastroDepartamentoForm  - Departamento Secretaria Geral excluido com sucesso!
501693 [AWT-EventQueue-0] INFO br.edu.ifnmg.jean.gestaoprojetos.apresentacao.CadastroDepartamentoForm  - Departamento Secretaria Geral excluido com sucesso!
593751 [AWT-EventQueue-0] INFO br.edu.ifnmg.jean.gestaoprojetos.apresentacao.CadastroDepartamentoForm  - Departamento criado com sucesso
593751 [AWT-EventQueue-0] INFO br.edu.ifnmg.jean.gestaoprojetos.apresentacao.CadastroDepartamentoForm  - Departamento criado com sucesso
593751 [AWT-EventQueue-0] INFO br.edu.ifnmg.jean.gestaoprojetos.apresentacao.CadastroDepartamentoForm  - Departamento criado com sucesso
593751 [AWT-EventQueue-0] INFO br.edu.ifnmg.jean.gestaoprojetos.apresentacao.CadastroDepartamentoForm  - Departamento criado com sucesso
593751 [AWT-EventQueue-0] INFO br.edu.ifnmg.jean.gestaoprojetos.apresentacao.CadastroDepartamentoForm  - Departamento criado com sucesso
623656 [AWT-EventQueue-0] INFO br.edu.ifnmg.jean.gestaoprojetos.apresentacao.CadastroUsuarioForm  - Gerente criado com sucesso. nome: Carlos
623656 [AWT-EventQueue-0] INFO br.edu.ifnmg.jean.gestaoprojetos.apresentacao.CadastroUsuarioForm  - Gerente criado com sucesso. nome: Carlos
623656 [AWT-EventQueue-0] INFO br.edu.ifnmg.jean.gestaoprojetos.apresentacao.CadastroUsuarioForm  - Gerente criado com sucesso. nome: Carlos
63560 [AWT-EventQueue-0] INFO br.edu.ifnmg.jean.gestaoprojetos.apresentacao.CadastroUsuarioForm  - Gerente criado com sucesso. nome: Carlos
66763 [AWT-EventQueue-0] INFO br.edu.ifnmg.jean.gestaoprojetos.apresentacao.CadastroDepartamentoForm  - Departamento criado com sucesso
66763 [AWT-EventQueue-0] INFO br.edu.ifnmg.jean.gestaoprojetos.apresentacao.CadastroDepartamentoForm  - Departamento criado com sucesso
